clo_id,user_id,class_id,activity_id,type,cri_id,submission_id,submitted_at,spent_time,due_date,level,point
26704,83934,54566,755269,ASM,981583,1294836,2021-08-28 12:27:43,,2021-08-28 12:32:59,4,17.0
26704,83937,54566,755269,ASM,981583,1294972,2021-08-28 12:30:28,,2021-08-28 12:32:59,5,20.0
26704,83938,54566,755269,ASM,981583,1294354,2021-08-28 12:21:49,,2021-08-28 12:32:59,4,17.0
26714,83938,58207,717666,ASM,941938,1249023,2021-08-17 13:22:29,,2021-08-17 13:30:59,3,60.0
26704,83939,54566,755269,ASM,981583,1294973,2021-08-28 12:30:30,,2021-08-28 12:32:59,5,20.0
26704,83940,54566,755269,ASM,981583,1294787,2021-08-28 12:26:49,,2021-08-28 12:32:59,4,17.0
26704,83941,54566,755269,ASM,981583,1294545,2021-08-28 12:23:44,,2021-08-28 12:32:59,5,20.0
26704,83942,54566,755269,ASM,981583,1294885,2021-08-28 12:28:34,,2021-08-28 12:32:59,1,3.0
26704,83943,54566,755269,ASM,981583,1294812,2021-08-28 12:27:15,,2021-08-28 12:32:59,4,17.0
26714,83943,58207,717666,ASM,941938,1248984,2021-08-17 13:13:15,,2021-08-17 13:30:59,4,80.0
26704,83944,54566,755269,ASM,981583,1294947,2021-08-28 12:29:40,,2021-08-28 12:32:59,1,2.0
26704,83945,54566,755269,ASM,981583,1294356,2021-08-28 12:21:50,,2021-08-28 12:32:59,1,10.0
26704,83947,54566,755269,ASM,981583,1294912,2021-08-28 12:28:55,,2021-08-28 12:32:59,5,20.0
26704,83948,54566,755269,ASM,981583,1294920,2021-08-28 12:29:07,,2021-08-28 12:32:59,2,13.0
26704,83949,54566,755269,ASM,981583,1294861,2021-08-28 12:28:11,,2021-08-28 12:32:59,5,20.0
26704,83951,54566,755269,ASM,981583,1294831,2021-08-28 12:27:36,,2021-08-28 12:32:59,1,10.0
26704,83952,54566,755269,ASM,981583,1294895,2021-08-28 12:28:45,,2021-08-28 12:32:59,1,3.0
26704,83953,54566,755269,ASM,981583,1294939,2021-08-28 12:29:33,,2021-08-28 12:32:59,1,10.0
26704,83955,55700,755268,ASM,981582,1294770,2021-08-28 12:26:37,,2021-08-28 12:32:59,4,80.0
26714,83959,54533,717667,ASM,941939,1260682,2021-08-20 15:14:04,,2021-08-20 15:30:59,5,100.0
26714,83961,54533,717667,ASM,941939,1260665,2021-08-20 15:09:24,,2021-08-20 15:30:59,5,100.0
26714,83962,54533,717667,ASM,941939,1260679,2021-08-20 15:13:30,,2021-08-20 15:30:59,5,100.0
26714,83963,54533,717667,ASM,941939,1260683,2021-08-20 15:14:22,,2021-08-20 15:30:59,5,100.0
26714,83975,54537,717668,ASM,941940,1260640,2021-08-20 15:03:24,,2021-08-20 15:30:59,5,100.0
26714,83976,54537,717668,ASM,941940,1260650,2021-08-20 15:05:25,,2021-08-20 15:30:59,5,100.0
26714,83978,54537,717668,ASM,941940,1258924,2021-08-19 23:48:42,,2021-08-20 15:30:59,5,100.0
26714,83979,54537,717668,ASM,941940,1260657,2021-08-20 15:07:09,,2021-08-20 15:30:59,5,100.0
26714,83980,54537,717668,ASM,941940,1260624,2021-08-20 14:57:34,,2021-08-20 15:30:59,5,100.0
26714,83981,54537,717668,ASM,941940,1258594,2021-08-19 22:36:46,,2021-08-20 15:30:59,5,100.0
