user_id,class_id,last_updated_dt,spent_time,expectation_met_count,seconds_early,activity_page_view,material_view,act+quiz_view,submit_button_clicked,class_view_count,specific_activity_view,session_id_count,level,activity_id,submission_id
67079,249832,20230415,1152.0,1.0,19252.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0
67079,249833,20230418,355.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3518148.0,2985944.0
67199,173178,20230223,584.0,0.0,786875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67270,249835,20230418,1332.0,0.0,1550.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3385261.0,2837752.0
67270,249835,20230418,2377.0,0.0,11762.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3385263.0,2866175.0
68154,173177,20230223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
69142,173178,20230223,1658.0,0.0,807025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71468,173181,20230314,1185.0,0.0,104668.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
72478,177763,20230402,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0
72478,177764,20230402,0.0,0.0,-28549815.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0
72478,177765,20230402,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0
72478,177766,20230402,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0
72478,177773,20230413,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
77047,173178,20230223,68.0,0.0,605031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
